id,type,inScheme,member,prefLabel,topConceptOf,altLabel,theme,subjectOf,notation,belongsTo,definition,hasTopConcept,note
https://data.omgeving.vlaanderen.be/id/collection/bioindicator/water,http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aliivibrio_fischeri|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/anostraca|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/clostridium_perfringens|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/coagulase_positieve_staphylococci|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/coliformen|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/danio_rerio|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/daphnia_magna|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/ekc-fytobenthos|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/ekc-fytoplankton|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/ekc-macro-invertebraten|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/ekc-macrofyten|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/ekc-visfauna|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/escherichia_coli|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/intestinale_enterococci|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/kiemgetal_bij_22c_en_36c|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/legionella_pneumophila|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/legionella_spp._|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/oncorhyncus_mykiss|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/phaeodactylum_tricornutum|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/pseudokirchneriella_subcapitata|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/pseudomonas_aeruginosa|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/salmonella_spp.|https://data.omgeving.vlaanderen.be/id/concept/bioindicator/somatische_colifagen,Collectie van bioindicatoren m.b.t. water.,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/actinomyceten,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Actinomyceten,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/adenovirussen,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Adenovirussen,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aerococcus,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aerococcus,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aerococcus_viridans,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aerococcus viridans,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aeromonas,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aeromonas,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aeromonas_caviae,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aeromonas caviae,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aeromonas_eucrenophila,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aeromonas eucrenophila,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aeromonas_hydrophila,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aeromonas hydrophila,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/bioindicator/aeromonas_salmonicida,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,Aeromonas salmonicida,https://data.omgeving.vlaanderen.be/id/conceptscheme/bioindicator,null,null,null,null,null,null,null,null
