uri,vmmParameterId
cb:coolia_monotis,2065
cb:gymnodinium_ct,2064
cb:pyrodinium_bh,2063
cb:dinophysis_cd,2062
cb:dinophysis_ft,2061
cb:ps-nitzschia_del_,2060
cb:ps-nitzschia_ser_,2059
cb:p_tric72_lt,1851
cb:tn,1807
cb:ha,1806
cb:ivt,1805
cb:ie,1803
cb:cyano_clfyl,1782
cb:gymnodium_sp,1320
cb:pyrodinium_sp,1319
cb:dinophysis_sp,1318
cb:cyano,1197
cb:corophium,1009
cb:msp,1008
cb:legionella_spp._,928
cb:legio,928
cb:legio,928
cb:ientero,927
cb:dinophysis_sa,925
cb:dinophysis_no,924
cb:dinophysis_at,923
cb:ostracod,903
cb:prorocentrum_mica,816
cb:ps-nitzschia_spp_,791
cb:prorocentrum_min,790
cb:prorocentrum_lima,789
cb:alexandrium_spp_,788
cb:alexandrium_spp_,788
cb:dinophysis_ac,787
cb:thamno,783
cb:hyal,780
cb:zwam,673
cb:pat__kiem,615
cb:tk37,41
cb:tk22,40
cb:tcoli,39
cb:staf,37
cb:salm,36
cb:pseud,35
cb:fstrep,34
cb:fcoli,33
cb:escherichia_coli,32
cb:ecoli,32
cb:misvormingen,-102
