uri,notation,prefLabel,definition,altLabel,theme,collections,subjectOf,inScheme,topConceptOf,belongsTo
collectie:bodem,,Collectie van bioindicatoren m.b.t. bodem.,,,,,,conceptscheme:bioindicator,,
collectie:lucht,,Collectie van bioindicatoren m.b.t. lucht.,,,,,,conceptscheme:bioindicator,,
collectie:water,,Collectie van bioindicatoren m.b.t. water.,,,,,,conceptscheme:bioindicator,,
kiemgetal_bij_22c_en_36c,,kiemgetal bij 22°C en 36°C,,kiemgetal bij 22°C en 36°C,gemet:15179,collectie:water,WAC/V/A/001,conceptscheme:bioindicator,conceptscheme:bioindicator,
coliformen,,coliformen,,coliformen,gemet:15179,collectie:water,WAC/V/A/002,conceptscheme:bioindicator,conceptscheme:bioindicator,
escherichia_coli,EColi,Escherichia coli,,Escherichia coli (E. coli),gemet:15179,collectie:water,WAC/V/A/002,conceptscheme:bioindicator,conceptscheme:bioindicator,
intestinale_enterococci,,intestinale enterococci,,enterokokken,gemet:15179,collectie:water,WAC/V/A/003,conceptscheme:bioindicator,conceptscheme:bioindicator,
salmonella_spp.,,Salmonella spp.,,Salmonella spp.,gemet:15179,collectie:water,WAC/V/A/004,conceptscheme:bioindicator,conceptscheme:bioindicator,
legionella_pneumophila,,Legionella pneumophila,,Legionella pneumophila,gemet:15179,collectie:water,WAC/V/A/005,conceptscheme:bioindicator,conceptscheme:bioindicator,
legionella_spp._,Legio,Legionella spp.,,Legionella spp.,gemet:15179,collectie:water,WAC/V/A/005,conceptscheme:bioindicator,conceptscheme:bioindicator,
pseudomonas_aeruginosa,,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,gemet:15179,collectie:water,WAC/V/A/006,conceptscheme:bioindicator,conceptscheme:bioindicator,
clostridium_perfringens,,Clostridium perfringens,,Clostridium perfringens,gemet:15179,collectie:water,WAC/V/A/007,conceptscheme:bioindicator,conceptscheme:bioindicator,
coagulase_positieve_staphylococci,,coagulase positieve staphylococci,,stafylokokken,gemet:15179,collectie:water,WAC/V/A/008,conceptscheme:bioindicator,conceptscheme:bioindicator,
somatische_colifagen,,somatische colifagen,,somatische colifagen,gemet:15179,collectie:water,Drinkwaterrichtlijn (EU) 2020/2184,conceptscheme:bioindicator,conceptscheme:bioindicator,
daphnia_magna,,Daphnia magna,,Watervlo,gemet:15179,collectie:water,WAC/V/B/001,conceptscheme:bioindicator,conceptscheme:bioindicator,
